id,name,city,state,google_place_id,review_count,review_mine_status,touchless_mentions
5be17c49-1593-44e2-86e6-fa9fb1b5b2bf,"Kwik Trip",Stacy,MN,ChIJYWrX_kPlslIRr-78HSVnTXw,362,touchless_found,0
09c2f254-f9e8-4452-b629-84c10c7cb59e,"Kwik Trip",KENOSHA,WI,ChIJH4Y4Nl1nBYgRsx1pZLOGCyg,361,scanned_clean,0
a110fa7a-aba0-4d19-8ab3-9870c6fbd691,"ARCO",Castaic,CA,ChIJhze-oNt-woARHn_FBidNW_c,361,touchless_found,0
39c29dd2-a4f5-456b-bda2-dfb5b595fa08,"Kwik Trip",Green Bay,WI,ChIJPQuE7-LkAogRzRnljOaT9t0,360,scanned_clean,0
167e6418-f5d8-4c7e-9cf5-943d99e0c9a6,"Kwik Trip",Plymouth,MN,ChIJvaawnkVKs1IRij5IH-d7QRQ,358,touchless_found,0
d9ce77d0-e09a-424e-b443-f9a03de08d8b,"You Wash It Self Service & Touchless Automatic Car Wash",Glendale,AZ,ChIJicO2Ly5vK4cRDcNpeoc7nOM,358,scanned_clean,0
8169c063-33d1-4db5-8f2f-15d01f0b9386,"Sheetz",Murrysville,PA,ChIJL58CRFvBNIgROLYjR-7ci3Q,353,scanned_clean,0
4a44e10f-b8fe-42e9-9de1-dd2ce310feb2,"Kwik Trip",NEW RICHMOND,WI,ChIJlyehO1ynslIR19zzV5D7gu4,352,touchless_found,0
b751358e-b73f-4a8b-89cc-0b5bdc6cb736,"Green Valley Car Wash",Green Valley,AZ,ChIJXUn_JgyE1oYRLW0BV9FP3jo,350,touchless_found,0
e9d1e754-bb3b-4fff-9d49-a23a0124d4d5,"Kwik Trip",Eau Claire,WI,ChIJcefXzKi8-IcR274cMXkOLY0,346,scanned_clean,0
a4989817-868a-499d-b236-5b2306f92cee,"Kwik Trip #557",DeForest,WI,ChIJb07L4Nf9BogRe6NJVCDHIDQ,345,scanned_clean,0
e8e9d226-8ef1-46d0-8574-570b510e0f50,"Kwik Trip",Janesville,WI,ChIJk-MyYE8ZBogRS8lMtkkoowE,342,touchless_found,0
819087e7-b5a8-4022-97cc-d978f8c2447b,"Kwik Trip",ANKENY,IA,ChIJZ2NfKLeb7ocRqirlz096AyI,341,scanned_clean,0
034690cd-86e0-4f36-aeb8-648e77c37e64,"Spinx Ride 'N Shine Car Wash",Greenville,SC,ChIJl-hc8yspWIgRR9ue4XfrkVo,337,scanned_clean,0
