name,city,state,chain,trophies,hero,amenities,hours,desc,address,phone,directions,snippets,tss,paintSafe,fails
O.C. Express Car Wash,Buena Park,CA,,"Los Angeles, CA #2",ok,true,true,true,true,true,true,52,83,true,"READY"
Bubbles Auto Wash,Fort Pierce,FL,,"Stuart, FL #1",ok,true,true,true,true,true,true,11,57,false,"TSS:57"
Premier 7 Car Wash,Newport Beach,CA,,"Newport Beach, CA #1",ok,true,true,true,true,true,true,27,87,true,"READY"
Washville Car Wash,Somersworth,NH,,"Sanford, ME #3",ok,true,true,true,true,true,true,11,69,false,"READY"
Tornado Wash,La Vista,NE,,"Omaha, NE #2",ok,true,true,true,true,true,true,42,82,true,"READY"
Superwash Montana,Kalispell,MT,,"Kalispell, MT #2",ok,true,true,true,true,true,true,4,65,false,"READY"
Shell,Portland,MI,Shell,"Lansing, MI #2",ok,true,true,true,true,true,true,2,80,false,"snips(2)"
Super Wash,Moline,IL,Super Wash,"Quad Cities, IA-IL #1",MISSING,true,true,true,true,true,true,3,82,false,"hero"
Batter Up Car Wash,Granite City,IL,,"St. Louis, MO #3",ok,true,true,true,true,true,true,10,86,false,"READY"
Decatur Autowash,North Las Vegas,NV,Autowash,"Las Vegas, NV #2",ok,true,true,true,true,true,true,41,72,true,"READY"
North Penn Car Wash,Oklahoma City,OK,,"Oklahoma City, OK #3",ok,true,true,true,true,false,true,20,85,true,"READY"
Car Wash in Downey,Downey,CA,,"Los Angeles, CA #1",ok,true,true,true,true,true,true,13,89,true,"READY"
Mission Gorge Car Wash,San Diego,CA,,"San Diego, CA #2",ok,true,true,true,true,true,true,35,76,false,"READY"
Sunrise High Performance Car Wash,Port Huron,MI,,"Richmond, MI #1",ok,true,true,true,true,true,true,10,78,false,"READY"
Harper Auto Wash - Parkside,Knoxville,TN,,"Knoxville, TN #1",ok,true,true,true,true,true,true,16,78,true,"READY"
Royal Rinse Car Wash,Colonial Heights,VA,Royal Rinse Car Wash,"Richmond, VA #3",ok,true,true,true,true,true,true,7,81,false,"READY"
